code;ratingc;e;d;c;b;a;resc
10258;C;5;12;0;0;0;0
7272;D;2;6;1;0;0;8
1873;C;0;14;0;0;0;0
2985;B;4;14;12;0;0;0
7484;E;0;0;0;0;0;0
7883;D;7;0;0;0;0;0
6568;E;0;0;0;0;0;0
5885;C;5;12;0;0;0;0
9406;E;1;0;0;0;0;3
7160;B;0;0;13;0;0;0
4999;E;0;0;0;0;0;0
3558;D;0;0;0;0;0;0
9979;D;4;0;0;0;0;0
4880;E;1;0;0;0;0;3
8753;E;0;0;0;0;0;0
6896;D;6;0;0;0;0;0
10935;D;4;0;0;0;0;0
307;D;0;0;0;0;0;0
6109;E;0;0;0;0;0;0
11148;E;0;0;0;0;0;0
9373;D;4;0;0;0;0;0
9006;E;0;0;0;0;0;0
10246;E;0;0;0;0;0;0
1515;C;0;0;0;0;0;0
10077;E;0;0;0;0;0;0
4680;E;1;0;0;0;0;3
5562;C;3;12;2;0;0;2
5996;E;0;0;0;0;0;0
5484;C;0;0;4;0;0;4
11576;E;0;0;0;0;0;0
11188;E;0;0;0;0;0;0
7335;E;2;0;0;0;0;6
11751;E;0;0;0;0;0;0
6129;E;1;0;0;0;0;3
11393;D;0;0;0;0;0;0
2192;D;0;0;0;0;0;0
4464;E;1;0;0;0;0;3
11445;E;0;0;0;0;0;0
7874;D;0;2;0;0;0;2
11078;E;0;0;0;0;0;0
5262;D;4;0;0;0;0;0
11006;D;5;0;0;0;0;0
11828;E;0;0;0;0;0;0
8124;E;0;0;0;0;0;0
3606;D;6;0;0;0;0;0
10569;E;3;0;0;0;0;9
6029;E;0;0;0;0;0;0
10537;E;0;0;0;0;0;0
8702;D;7;0;0;0;0;0
7814;E;0;0;0;0;0;0
9812;E;0;0;0;0;0;0
11899;E;0;0;0;0;0;0
4045;D;4;3;0;0;0;3
2523;D;0;0;0;0;0;0
11130;E;0;0;0;0;0;0
4064;D;4;3;0;0;0;3
4349;D;5;0;0;0;0;0
2542;D;0;0;0;0;0;0
2017;D;0;1;0;0;0;1
1093;D;0;0;0;0;0;0
2831;E;0;0;0;0;0;0
5714;D;0;0;0;0;0;0
10940;E;0;0;0;0;0;0
11865;E;0;0;0;0;0;0
10693;E;0;0;0;0;0;0
4253;C;4;14;0;0;0;0
4088;E;1;0;0;0;0;3
2230;D;0;7;0;0;0;7
7797;E;0;0;0;0;0;0
8166;B;0;16;14;9;0;9
1526;B;0;0;6;3;0;3
7369;E;0;0;0;0;0;0
6130;D;5;0;0;0;0;0
9627;D;5;0;0;0;0;0
5266;E;0;0;0;0;0;0
3374;C;0;12;6;0;0;6
291;C;0;0;2;0;0;2
11866;E;0;0;0;0;0;0
1188;D;0;0;0;0;0;0
1095;D;0;0;0;0;0;0
4487;C;0;0;0;0;0;0
10625;E;0;0;0;0;0;0
6993;E;3;0;0;0;0;9
75;C;0;0;0;0;0;0
11189;E;0;0;0;0;0;0
3849;D;0;0;0;0;0;0
8538;E;0;0;0;0;0;0
1780;D;0;0;0;0;0;0
